,有價證券代號及名稱
1,股票
2,1101　台泥
3,1102　亞泥
4,1103　嘉泥
5,1104　環泥
6,1108　幸福
7,1109　信大
8,1110　東泥
9,1201　味全
10,1203　味王
11,1210　大成
12,1213　大飲
13,1215　卜蜂
14,1216　統一
15,1217　愛之味
16,1218　泰山
17,1219　福壽
18,1220　台榮
19,1225　福懋油
20,1227　佳格
21,1229　聯華
22,1231　聯華食
23,1232　大統益
24,1233　天仁
25,1234　黑松
26,1235　興泰
27,1236　宏亞
28,1256　鮮活果汁-KY
29,1301　台塑
30,1303　南亞
31,1304　台聚
32,1305　華夏
33,1307　三芳
34,1308　亞聚
35,1309　台達化
36,1310　台苯
37,1312　國喬
38,1313　聯成
39,1314　中石化
40,1315　達新
41,1316　上曜
42,1319　東陽
43,1321　大洋
44,1323　永裕
45,1324　地球
46,1325　恆大
47,1326　台化
48,1337　再生-KY
49,1338　廣華-KY
50,1339　昭輝
51,1340　勝悅-KY
52,1341　富林-KY
53,1342　八貫
54,1402　遠東新
55,1409　新纖
56,1410　南染
57,1413　宏洲
58,1414　東和
59,1416　廣豐
60,1417　嘉裕
61,1418　東華
62,1419　新紡
63,1423　利華
64,1432　大魯閣
65,1434　福懋
66,1435　中福
67,1436　華友聯
68,1437　勤益控
69,1438　三地開發
70,1439　雋揚
71,1440　南紡
72,1441　大東
73,1442　名軒
74,1443　立益物流
75,1444　力麗
76,1445　大宇
77,1446　宏和
78,1447　力鵬
79,1449　佳和
80,1451　年興
81,1452　宏益
82,1453　大將
83,1454　台富
84,1455　集盛
85,1456　怡華
86,1457　宜進
87,1459　聯發
88,1460　宏遠
89,1463　強盛
90,1464　得力
91,1465　偉全
92,1466　聚隆
93,1467　南緯
94,1468　昶和
95,1470　大統新創
96,1471　首利
97,1472　三洋實業
98,1473　台南
99,1474　弘裕
100,1475　業旺
101,1476　儒鴻
102,1477　聚陽
103,1503　士電
104,1504　東元
105,1506　正道
106,1512　瑞利
107,1513　中興電
108,1514　亞力
109,1515　力山
110,1516　川飛
111,1517　利奇
112,1519　華城
113,1521　大億
114,1522　堤維西
115,1524　耿鼎
116,1525　江申
117,1526　日馳
118,1527　鑽全
119,1528　恩德
120,1529　樂事綠能
121,1530　亞崴
122,1531　高林股
123,1532　勤美
124,1533　車王電
125,1535　中宇
126,1536　和大
127,1537　廣隆
128,1538　正峰
129,1539　巨庭
130,1540　喬福
131,1541　錩泰
132,1558　伸興
133,1560　中砂
134,1563　巧新
135,1568　倉佑
136,1582　信錦
137,1583　程泰
138,1587　吉茂
139,1589　永冠-KY
140,1590　亞德客-KY
141,1597　直得
142,1598　岱宇
143,1603　華電
144,1604　聲寶
145,1605　華新
146,1608　華榮
147,1609　大亞
148,1611　中電
149,1612　宏泰
150,1614　三洋電
151,1615　大山
152,1616　億泰
153,1617　榮星
154,1618　合機
155,1626　艾美特-KY
156,1701　中化
157,1702　南僑
158,1707　葡萄王
159,1708　東鹼
160,1709　和益
161,1710　東聯
162,1711　永光
163,1712　興農
164,1713　國化
165,1714　和桐
166,1717　長興
167,1718　中纖
168,1720　生達
169,1721　三晃
170,1722　台肥
171,1723　中碳
172,1725　元禎
173,1726　永記
174,1727　中華化
175,1730　花仙子
176,1731　美吾華
177,1732　毛寶
178,1733　五鼎
179,1734　杏輝
180,1735　日勝化
181,1736　喬山
182,1737　臺鹽
183,1752　南光
184,1760　寶齡富錦
185,1762　中化生
186,1773　勝一
187,1776　展宇
188,1783　和康生
189,1786　科妍
190,1789　神隆
191,1795　美時
192,1802　台玻
193,1805　寶徠
194,1806　冠軍
195,1808　潤隆
196,1809　中釉
197,1810　和成
198,1817　凱撒衛
199,1903　士紙
200,1904　正隆
201,1905　華紙
202,1906　寶隆
203,1907　永豐餘
204,1909　榮成
205,2002　中鋼
206,2006　東和鋼鐵
207,2007　燁興
208,2008　高興昌
209,2009　第一銅
210,2010　春源
211,2012　春雨
212,2013　中鋼構
213,2014　中鴻
214,2015　豐興
215,2017　官田鋼
216,2020　美亞
217,2022　聚亨
218,2023　燁輝
219,2024　志聯
220,2025　千興
221,2027　大成鋼
222,2028　威致
223,2029　盛餘
224,2030　彰源
225,2031　新光鋼
226,2032　新鋼
227,2033　佳大
228,2034　允強
229,2038　海光
230,2049　上銀
231,2059　川湖
232,2062　橋椿
233,2069　運錩
234,2101　南港
235,2102　泰豐
236,2103　台橡
237,2104　國際中橡
238,2105　正新
239,2106　建大
240,2107　厚生
241,2108　南帝
242,2109　華豐
243,2114　鑫永銓
244,2115　六暉-KY
245,2201　裕隆
246,2204　中華
247,2206　三陽工業
248,2207　和泰車
249,2208　台船
250,2211　長榮鋼
251,2227　裕日車
252,2228　劍麟
253,2231　為升
254,2233　宇隆
255,2236　百達-KY
256,2239　英利-KY
257,2241　艾姆勒
258,2243　宏旭-KY
259,2247　汎德永業
260,2250　IKKA-KY
261,2301　光寶科
262,2302　麗正
263,2303　聯電
264,2305　全友
265,2308　台達電
266,2312　金寶
267,2313　華通
268,2314　台揚
269,2316　楠梓電
270,2317　鴻海
271,2321　東訊
272,2323　中環
273,2324　仁寶
274,2327　國巨
275,2328　廣宇
276,2329　華泰
277,2330　台積電
278,2331　精英
279,2332　友訊
280,2337　旺宏
281,2338　光罩
282,2340　台亞
283,2342　茂矽
284,2344　華邦電
285,2345　智邦
286,2347　聯強
287,2348　海悅
288,2349　錸德
289,2351　順德
290,2352　佳世達
291,2353　宏碁
292,2354　鴻準
293,2355　敬鵬
294,2356　英業達
295,2357　華碩
296,2358　廷鑫
297,2359　所羅門
298,2360　致茂
299,2362　藍天
300,2363　矽統
301,2364　倫飛
302,2365　昆盈
303,2367　燿華
304,2368　金像電
305,2369　菱生
306,2371　大同
307,2373　震旦行
308,2374　佳能
309,2375　凱美
310,2376　技嘉
311,2377　微星
312,2379　瑞昱
313,2380　虹光
314,2382　廣達
315,2383　台光電
316,2385　群光
317,2387　精元
318,2388　威盛
319,2390　云辰
320,2392　正崴
321,2393　億光
322,2395　研華
323,2397　友通
324,2399　映泰
325,2401　凌陽
326,2402　毅嘉
327,2404　漢唐
328,2405　輔信
329,2406　國碩
330,2408　南亞科
331,2409　友達
332,2412　中華電
333,2413　環科
334,2414　精技
335,2415　錩新
336,2417　圓剛
337,2419　仲琦
338,2420　新巨
339,2421　建準
340,2423　固緯
341,2424　隴華
342,2425　承啟
343,2426　鼎元
344,2427　三商電
345,2428　興勤
346,2429　銘旺科
347,2430　燦坤
348,2431　聯昌
349,2433　互盛電
350,2434　統懋
351,2436　偉詮電
352,2438　翔耀
353,2439　美律
354,2440　太空梭
355,2441　超豐
356,2442　新美齊
357,2443　昶虹
358,2444　兆勁
359,2449　京元電子
360,2450　神腦
361,2451　創見
362,2453　凌群
363,2454　聯發科
364,2455　全新
365,2457　飛宏
366,2458　義隆
367,2459　敦吉
368,2460　建通
369,2461　光群雷
370,2462　良得電
371,2464　盟立
372,2465　麗臺
373,2466　冠西電
374,2467　志聖
375,2468　華經
376,2471　資通
377,2472　立隆電
378,2474　可成
379,2476　鉅祥
380,2477　美隆電
381,2478　大毅
382,2480　敦陽科
383,2481　強茂
384,2482　連宇
385,2483　百容
386,2484　希華
387,2485　兆赫
388,2486　一詮
389,2488　漢平
390,2489　瑞軒
391,2491　吉祥全
392,2492　華新科
393,2493　揚博
394,2495　普安
395,2496　卓越
396,2497　怡利電
397,2498　宏達電
398,2501　國建
399,2504　國產
400,2505　國揚
401,2506　太設
402,2509　全坤建
403,2511　太子
404,2514　龍邦
405,2515　中工
406,2516　新建
407,2520　冠德
408,2524　京城
409,2527　宏璟
410,2528　皇普
411,2530　華建
412,2534　宏盛
413,2535　達欣工
414,2536　宏普
415,2537　聯上發
416,2538　基泰
417,2539　櫻花建
418,2540　愛山林
419,2542　興富發
420,2543　皇昌
421,2545　皇翔
422,2546　根基
423,2547　日勝生
424,2548　華固
425,2597　潤弘
426,2601　益航
427,2603　長榮
428,2605　新興
429,2606　裕民
430,2607　榮運
431,2608　嘉里大榮
432,2609　陽明
433,2610　華航
434,2611　志信
435,2612　中航
436,2613　中櫃
437,2614　東森
438,2615　萬海
439,2616　山隆
440,2617　台航
441,2618　長榮航
442,2630　亞航
443,2633　台灣高鐵
444,2634　漢翔
445,2636　台驊投控
446,2637　慧洋-KY
447,2642　宅配通
448,2645　長榮航太
449,2701　萬企
450,2702　華園
451,2704　國賓
452,2705　六福
453,2706　第一店
454,2707　晶華
455,2712　遠雄來
456,2722　夏都
457,2723　美食-KY
458,2727　王品
459,2731　雄獅
460,2739　寒舍
461,2748　雲品
462,2753　八方雲集
463,2762　世界健身-KY
464,2801　彰銀
465,2809　京城銀
466,2812　台中銀
467,2816　旺旺保
468,2820　華票
469,2832　台產
